Estacion,Fecha inicial,Fecha final,PM10
CAM NORTE,2020 Feb 14 12:00:00 AM,,"19,94"
CAM NORTE,2020 Feb 11 12:00:00 AM,,"20,24"
CAM NORTE,2020 Feb 08 12:00:00 AM,,"15,7"
CAM NORTE,2020 Feb 05 12:00:00 AM,,"21,62"
CAM NORTE,2020 Feb 03 12:00:00 AM,,"16,86"
CAM NORTE,2020 Jan 30 12:00:00 AM,,"18,71"
CAM NORTE,2020 Jan 27 12:00:00 AM,,"24,1"
CAM NORTE,2020 Jan 24 12:00:00 AM,,"25,32"
CAM NORTE,2020 Jan 21 12:00:00 AM,,"22,03"
CAM NORTE,2020 Jan 18 12:00:00 AM,,"30,21"
CAM NORTE,2020 Jan 15 12:00:00 AM,,"14,59"
CAM NORTE,2020 Jan 12 12:00:00 AM,,"19,73"
CAM NORTE,2020 Jan 09 12:00:00 AM,,"25,92"
CAM NORTE,2020 Jan 06 12:00:00 AM,,"21,96"
CAM NORTE,2020 Jan 03 12:00:00 AM,,"19,09"
CAM NORTE,2019 Dec 30 12:00:00 AM,,"36,39683735"
CAM NORTE,2019 Dec 27 12:00:00 AM,,"28,12876506"
CAM NORTE,2019 Dec 24 12:00:00 AM,,"24,55363841"
CAM NORTE,2019 Dec 21 12:00:00 AM,,"22,7221172"
CAM NORTE,2019 Dec 18 12:00:00 AM,,"24,38675696"
CAM NORTE,2019 Dec 15 12:00:00 AM,,"19,22213912"
CAM NORTE,2019 Dec 12 12:00:00 AM,,"19,82986767"
CAM NORTE,2019 Dec 09 12:00:00 AM,,"17,5716946"
CAM NORTE,2019 Dec 06 12:00:00 AM,,"16,77798861"
CAM NORTE,2019 Dec 03 12:00:00 AM,,"17,87901991"
CAM NORTE,2019 Nov 28 12:00:00 AM,,"25,22966867"
CAM NORTE,2019 Nov 25 12:00:00 AM,,"30,12048193"
CAM NORTE,2019 Nov 22 12:00:00 AM,,"27,62565641"
CAM NORTE,2019 Nov 19 12:00:00 AM,,"23,18714556"
CAM NORTE,2019 Nov 16 12:00:00 AM,,"18,1903687"
CAM NORTE,2019 Nov 13 12:00:00 AM,,20
CAM NORTE,2019 Nov 10 12:00:00 AM,,"18,22306238"
CAM NORTE,2019 Nov 07 12:00:00 AM,,"19,75046555"
CAM NORTE,2019 Nov 04 12:00:00 AM,,"15,59772296"
CAM NORTE,2019 Nov 01 12:00:00 AM,,"20,8805513"
CAM NORTE,2019 Oct 29 12:00:00 AM,,"28,42243976"
CAM NORTE,2019 Oct 26 12:00:00 AM,,"27,58283133"
CAM NORTE,2019 Oct 23 12:00:00 AM,,"29,21980495"
CAM NORTE,2019 Oct 20 12:00:00 AM,,"28,6389414"
CAM NORTE,2019 Oct 17 12:00:00 AM,,"28,43115124"
CAM NORTE,2019 Oct 14 12:00:00 AM,,"29,67838444"
CAM NORTE,2019 Oct 11 12:00:00 AM,,"34,45746692"
CAM NORTE,2019 Oct 08 12:00:00 AM,,"27,57541899"
CAM NORTE,2019 Oct 05 12:00:00 AM,,"27,40796964"
CAM NORTE,2019 Oct 02 12:00:00 AM,,"22,15926493"
CAM NORTE,2019 Sep 30 12:00:00 AM,,"37,32304217"
CAM NORTE,2019 Sep 27 12:00:00 AM,,"36,37048193"
CAM NORTE,2019 Sep 24 12:00:00 AM,,"32,61065266"
CAM NORTE,2019 Sep 21 12:00:00 AM,,"31,35349716"
CAM NORTE,2019 Sep 18 12:00:00 AM,,"29,22874342"
CAM NORTE,2019 Sep 15 12:00:00 AM,,"29,06881077"
CAM NORTE,2019 Sep 12 12:00:00 AM,,"29,61436673"
CAM NORTE,2019 Sep 09 12:00:00 AM,,"30,62942272"
CAM NORTE,2019 Sep 06 12:00:00 AM,,"31,22201139"
CAM NORTE,2019 Sep 03 12:00:00 AM,,"20,0229709"
CAM NORTE,2019 Aug 30 12:00:00 AM,,"30,53840361"
CAM NORTE,2019 Aug 27 12:00:00 AM,,"31,53614458"
CAM NORTE,2019 Aug 24 12:00:00 AM,,"25,69767442"
CAM NORTE,2019 Aug 21 12:00:00 AM,,"23,60302457"
CAM NORTE,2019 Aug 18 12:00:00 AM,,"27,84800602"
CAM NORTE,2019 Aug 15 12:00:00 AM,,"24,52131638"
CAM NORTE,2019 Aug 12 12:00:00 AM,,"22,97542533"
CAM NORTE,2019 Aug 09 12:00:00 AM,,"21,72067039"
CAM NORTE,2019 Aug 06 12:00:00 AM,,"15,25616698"
CAM NORTE,2019 Aug 03 12:00:00 AM,,"19,15007657"
CAM NORTE,2019 Jul 30 12:00:00 AM,,"18,21536145"
CAM NORTE,2019 Jul 27 12:00:00 AM,,"26,15587349"
CAM NORTE,2019 Jul 24 12:00:00 AM,,"31,79669917"
CAM NORTE,2019 Jul 21 12:00:00 AM,,"31,11531191"
CAM NORTE,2019 Jul 18 12:00:00 AM,,"24,56358164"
CAM NORTE,2019 Jul 15 12:00:00 AM,,"25,46372476"
CAM NORTE,2019 Jul 12 12:00:00 AM,,"28,43100189"
CAM NORTE,2019 Jul 09 12:00:00 AM,,"26,79329609"
CAM NORTE,2019 Jul 06 12:00:00 AM,,"25,21062619"
CAM NORTE,2019 Jul 03 12:00:00 AM,,"21,99464012"
CAM NORTE,2019 Jun 28 12:00:00 AM,,"27,70331325"
CAM NORTE,2019 Jun 25 12:00:00 AM,,"25,5873494"
CAM NORTE,2019 Jun 22 12:00:00 AM,,"30,92648162"
CAM NORTE,2019 Jun 19 12:00:00 AM,,"27,30434783"
CAM NORTE,2019 Jun 16 12:00:00 AM,,"18,57411588"
CAM NORTE,2019 Jun 13 12:00:00 AM,,"22,83096485"
CAM NORTE,2019 Jun 10 12:00:00 AM,,"23,90170132"
CAM NORTE,2019 Jun 07 12:00:00 AM,,"19,74674115"
CAM NORTE,2019 Jun 04 12:00:00 AM,,"19,0512334"
CAM NORTE,2019 Jun 01 12:00:00 AM,,"20,29096478"
CAM NORTE,2019 May 28 12:00:00 AM,,"29,72138554"
CAM NORTE,2019 May 25 12:00:00 AM,,"33,55421687"
CAM NORTE,2019 May 22 12:00:00 AM,,"24,33983496"
CAM NORTE,2019 May 19 12:00:00 AM,,"15,54253308"
CAM NORTE,2019 May 16 12:00:00 AM,,"16,41459744"
CAM NORTE,2019 May 13 12:00:00 AM,,"17,95063575"
CAM NORTE,2019 May 10 12:00:00 AM,,"18,32136106"
CAM NORTE,2019 May 07 12:00:00 AM,,"19,93668529"
CAM NORTE,2019 May 04 12:00:00 AM,,"22,30360531"
CAM NORTE,2019 May 01 12:00:00 AM,,"23,15849923"
CAM NORTE,2019 Apr 29 12:00:00 AM,,"29,78539157"
CAM NORTE,2019 Apr 26 12:00:00 AM,,"32,95557229"
CAM NORTE,2019 Apr 23 12:00:00 AM,,"21,55663916"
CAM NORTE,2019 Apr 20 12:00:00 AM,,"14,44234405"
CAM NORTE,2019 Apr 17 12:00:00 AM,,"22,27990971"
CAM NORTE,2019 Apr 14 12:00:00 AM,,"29,72326103"
CAM NORTE,2019 Apr 11 12:00:00 AM,,"27,83364839"
CAM NORTE,2019 Apr 08 12:00:00 AM,,"21,98137803"
CAM NORTE,2019 Apr 05 12:00:00 AM,,"18,39468691"
CAM NORTE,2019 Apr 02 12:00:00 AM,,"17,69525268"
CAM NORTE,2019 Mar 31 12:00:00 AM,,"25,41792169"
CAM NORTE,2019 Mar 28 12:00:00 AM,,"23,11370482"
CAM NORTE,2019 Mar 25 12:00:00 AM,,"25,34508627"
CAM NORTE,2019 Mar 22 12:00:00 AM,,"24,71833648"
CAM NORTE,2019 Mar 19 12:00:00 AM,,"24,04063205"
CAM NORTE,2019 Mar 16 12:00:00 AM,,"25,58339566"
CAM NORTE,2019 Mar 13 12:00:00 AM,,"25,94328923"
CAM NORTE,2019 Mar 10 12:00:00 AM,,"26,02979516"
CAM NORTE,2019 Mar 07 12:00:00 AM,,"28,38709677"
CAM NORTE,2019 Mar 04 12:00:00 AM,,"27,84073507"
CAM NORTE,2019 Mar 01 12:00:00 AM,,"19,86069277"
CAM NORTE,2019 Feb 26 12:00:00 AM,,"23,78469617"
CAM NORTE,2019 Feb 23 12:00:00 AM,,"28,94139887"
CAM NORTE,2019 Feb 20 12:00:00 AM,,"28,34838224"
CAM NORTE,2019 Feb 17 12:00:00 AM,,"25,52729993"
CAM NORTE,2019 Feb 14 12:00:00 AM,,"27,5463138"
CAM NORTE,2019 Feb 11 12:00:00 AM,,"24,75605214"
CAM NORTE,2019 Feb 08 12:00:00 AM,,"25,4800759"
CAM NORTE,2019 Feb 05 12:00:00 AM,,"27,50382848"
CAM NORTE,2019 Jan 31 12:00:00 AM,,"22,69288956"
CAM NORTE,2019 Jan 29 12:00:00 AM,,"26,45707831"
CAM NORTE,2019 Jan 26 12:00:00 AM,,"23,98349587"
CAM NORTE,2019 Jan 23 12:00:00 AM,,"21,33459357"
CAM NORTE,2019 Jan 20 12:00:00 AM,,"19,43566591"
CAM NORTE,2019 Jan 17 12:00:00 AM,,"18,8145101"
CAM NORTE,2019 Jan 14 12:00:00 AM,,"16,81285444"
CAM NORTE,2019 Jan 11 12:00:00 AM,,"18,34636872"
CAM NORTE,2019 Jan 08 12:00:00 AM,,"19,04364326"
CAM NORTE,2019 Jan 05 12:00:00 AM,,"21,70750383"
CAM NORTE,2018 Dec 30 12:00:00 AM,,"24,39107413"
CAM NORTE,2018 Dec 27 12:00:00 AM,,"22,79743976"
CAM NORTE,2018 Dec 24 12:00:00 AM,,"27,48312078"
CAM NORTE,2018 Dec 21 12:00:00 AM,,"29,51606805"
CAM NORTE,2018 Dec 18 12:00:00 AM,,"28,71331828"
CAM NORTE,2018 Dec 15 12:00:00 AM,,"29,08750935"
CAM NORTE,2018 Dec 12 12:00:00 AM,,"32,05671078"
CAM NORTE,2018 Dec 09 12:00:00 AM,,"35,27746741"
CAM NORTE,2018 Dec 06 12:00:00 AM,,"21,85578748"
CAM NORTE,2018 Dec 03 12:00:00 AM,,"19,52143951"
CAM NORTE,2018 Nov 30 12:00:00 AM,,"30,95310136"
CAM NORTE,2018 Nov 27 12:00:00 AM,,"30,53840361"
CAM NORTE,2018 Nov 24 12:00:00 AM,,"28,03450863"
CAM NORTE,2018 Nov 21 12:00:00 AM,,"22,39697543"
CAM NORTE,2018 Nov 18 12:00:00 AM,,"30,27088036"
CAM NORTE,2018 Nov 15 12:00:00 AM,,"23,40688108"
CAM NORTE,2018 Nov 12 12:00:00 AM,,"27,47826087"
CAM NORTE,2018 Nov 09 12:00:00 AM,,"25,67225326"
CAM NORTE,2018 Nov 06 12:00:00 AM,,"18,86527514"
CAM NORTE,2018 Nov 03 12:00:00 AM,,"13,51071976"
CAM NORTE,2018 Oct 29 12:00:00 AM,,"29,39199396"
CAM NORTE,2018 Oct 26 12:00:00 AM,,"30,32245827"
CAM NORTE,2018 Oct 23 12:00:00 AM,,"37,24604966"
